job_id,source_page,position,tracking_id,box_type,title,company_name,salary,city,experience,posted_time,updated_time,job_url,company_url,logo_url,apply_text,apply_url,labels,visible_tags,remaining_tags,is_hot,is_urgent,is_pro_company,is_verified,verification_level,is_highlight,is_flash_job,is_diamond_employer,scraped_at
2149408,1,1,crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,BoxSearchResult,Nhân Viên Thiết Kế,Công ty TNHH Ming Shin (Việt Nam),Thoả thuận,Hưng Yên (mới),1 năm,Đăng 1 tuần trước,Cập nhật 1 phút trước,https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke/2149408.html?ta_source=JobSearchList_LinkDetail&u_sr_id=crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,https://www.topcv.vn/cong-ty/cong-ty-tnhh-ming-shin-viet-nam/95690.html,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/EKwkTaDs734NFNl1iX640vQdbhev4HMs_1648875822____af72572fc560b7f52d75882debc42fac.png,Ứng tuyển,https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke/2149408.html?ta_source=JobSearchList_ButtonApplyFormCard&u_sr_id=crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,[],"[""1 năm kinh nghiệm chuyên môn"", ""Thiết kế đồ ...""]","Thiết kế đồ họa (Graphic Design), In ấn / Xuất bản, Thiết kế / Kiến trúc, Công nghệ kỹ thuật, Trung cấp trở lên",False,False,False,False,,True,True,False,2026-08-24T08:35:10
2247619,1,2,crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,BoxSearchResult,Nhân Viên Kinh Doanh Thị Trường Dịch Vụ Thanh Toán VNPAY - Từ 1 Năm Kinh Nghiệm,CÔNG TY TNHH GIẢI PHÁP KINH DOANH THẾ HỆ MỚI VNNG,13 - 20 triệu,Hà Nội & 15 nơi khác,1 năm,Đăng 2 tuần trước,Cập nhật 3 phút trước,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-thi-truong-dich-vu-thanh-toan-vnpay-tu-1-nam-kinh-nghiem/2247619.html?ta_source=JobSearchList_LinkDetail&u_sr_id=crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,https://www.topcv.vn/cong-ty/cong-ty-tnhh-giai-phap-kinh-doanh-the-he-moi-vnng/38543.html,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-giai-phap-kinh-doanh-the-he-moi-vnng-640fe72f8540f.jpg,Ứng tuyển,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-thi-truong-dich-vu-thanh-toan-vnpay-tu-1-nam-kinh-nghiem/2247619.html?ta_source=JobSearchList_ButtonApplyFormCard&u_sr_id=crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,[],"[""1 năm kinh nghiệm chuyên môn"", ""Kinh doanh p...""]","Kinh doanh phần mềm, Direct Sales, Telesales, B2B, B2C, IT - Phần mềm, Diễn đạt trôi chảy, Trung cấp trở lên, Có phương tiện di chuyển",False,False,False,True,level-five,True,False,False,2026-08-24T08:35:10
2274961,1,3,crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,BoxSearchResult,Chuyên Viên BA Phân Tích Nghiệp Vụ Lương 20-26tr,CÔNG TY CỔ PHẦN TẦM NHÌN QUỐC TẾ ALADDIN,20 - 26 triệu,Hà Nội,3 năm,Đăng 1 tuần trước,Cập nhật 4 phút trước,https://www.topcv.vn/viec-lam/chuyen-vien-ba-phan-tich-nghiep-vu-luong-20-26tr/2274961.html?ta_source=JobSearchList_LinkDetail&u_sr_id=crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,https://www.topcv.vn/cong-ty/cong-ty-co-phan-tam-nhin-quoc-te-aladdin/22918.html,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/6a3e2ba8058431782459304.jpg,Ứng tuyển,https://www.topcv.vn/viec-lam/chuyen-vien-ba-phan-tich-nghiep-vu-luong-20-26tr/2274961.html?ta_source=JobSearchList_ButtonApplyFormCard&u_sr_id=crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,"[""HOT""]","[""3 năm kinh nghiệm chuyên môn"", ""Business Ana...""]","Business Analyst (Phân tích nghiệp vụ), IT - Phần mềm, IT - Phần cứng và máy tính, An ninh mạng, Cao Đẳng trở lên",True,False,False,True,level-five,True,False,False,2026-08-24T08:35:10
2266055,1,4,crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,BoxSearchResult,Chuyên Viên IT - Lập Trình & Phát Triển Phần Mềm Nội Bộ,Công ty cổ phần An Pha Kim,20 - 30 triệu,Hồ Chí Minh (mới),3 năm,Đăng 2 tuần trước,Cập nhật 4 phút trước,https://www.topcv.vn/viec-lam/chuyen-vien-it-lap-trinh-phat-trien-phan-mem-noi-bo/2266055.html?ta_source=JobSearchList_LinkDetail&u_sr_id=crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,https://www.topcv.vn/cong-ty/cong-ty-co-phan-an-pha-kim/194996.html,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/g718sCDzhToNbWiburEFlozjnG1k1O5C_1726107857____c76b41a20ecf44ce345dd3295d8e4267.png,Ứng tuyển,https://www.topcv.vn/viec-lam/chuyen-vien-it-lap-trinh-phat-trien-phan-mem-noi-bo/2266055.html?ta_source=JobSearchList_ButtonApplyFormCard&u_sr_id=crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,[],"[""3 năm kinh nghiệm chuyên môn"", ""Backend Deve...""]","Backend Developer, IT - Phần mềm, Cao Đẳng trở lên, Bảo hiểm xã hội, Phụ cấp: Ăn trưa",False,False,False,False,,True,False,False,2026-08-24T08:35:10
2058109,1,5,crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,BoxSearchResult,Nhân Viên BA Tư Vấn Marketing Phần Mềm,CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM NASANI,8.5 - 32 triệu,Hồ Chí Minh (mới),Không yêu cầu,Đăng 1 tuần trước,Cập nhật 4 phút trước,https://www.topcv.vn/viec-lam/nhan-vien-ba-tu-van-marketing-phan-mem/2058109.html?ta_source=JobSearchList_LinkDetail&u_sr_id=crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,https://www.topcv.vn/cong-ty/cong-ty-tnhh-cong-nghe-phan-mem-nasani/249278.html,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/SA9ToYgcQknVeLy6IXCXNpYWCF8MSB77_1772448050____1acbfee790cc8ea393672d781a1b0c87.png,Ứng tuyển,https://www.topcv.vn/viec-lam/nhan-vien-ba-tu-van-marketing-phan-mem/2058109.html?ta_source=JobSearchList_ButtonApplyFormCard&u_sr_id=crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,"[""GẤP""]","[""Không yêu cầu kinh nghiệm chuyên môn"", ""Sale...""]","Sales Marketing, Direct Sales, Online Sales, B2B, B2C, IT - Phần mềm, Marketing / Quảng cáo, Trung cấp trở lên, Team building",False,True,False,False,,True,False,False,2026-08-24T08:35:10
2272968,1,6,crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,BoxSearchResult,Business Development – IT Enterprise,CÔNG TY TNHH SOFT WORLD VIỆT NAM,Thoả thuận,Hồ Chí Minh (mới),Trên 5 năm,Đăng 1 tuần trước,Cập nhật 6 phút trước,https://www.topcv.vn/viec-lam/business-development-it-enterprise/2272968.html?ta_source=JobSearchList_LinkDetail&u_sr_id=crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,https://www.topcv.vn/cong-ty/cong-ty-tnhh-soft-world-viet-nam/17628.html,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/tA3cb3r6b4LHXVBd9JkZcRBgi9raQTd4_1749549639____ee4c9b0ae5666b411c29f3bd60c325b0.png,Ứng tuyển,https://www.topcv.vn/viec-lam/business-development-it-enterprise/2272968.html?ta_source=JobSearchList_ButtonApplyFormCard&u_sr_id=crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,[],"[""Trên 5 năm kinh nghiệm chuyên môn"", ""Kinh do...""]","Kinh doanh phần mềm, Direct Sales, B2B, Marketing / Quảng cáo, IT - Phần mềm, Tiếng Anh Giao tiếp cơ bản, Tiếng Anh Đọc hiểu, Tuổi 25 - 35, Đại Học trở lên, Nam",False,False,False,False,,True,False,False,2026-08-24T08:35:10
2269702,1,7,crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,BoxSearchResult,Nghệ Sĩ Ý Tưởng Concept Artist – Digital Art & Immersive Experience,Công ty cổ phần Công nghệ Proton,Thoả thuận,Hà Nội,2 năm,Đăng 1 tuần trước,Cập nhật 6 phút trước,https://www.topcv.vn/viec-lam/nghe-si-y-tuong-concept-artist-digital-art-immersive-experience/2269702.html?ta_source=JobSearchList_LinkDetail&u_sr_id=crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,https://www.topcv.vn/cong-ty/cong-ty-co-phan-cong-nghe-proton/155592.html,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/h2noMkXOK8jZS1gklA1X0LLIXArGO5ZR_1766389952____e646532eae57f50f693d82212bbc0d65.png,Ứng tuyển,https://www.topcv.vn/viec-lam/nghe-si-y-tuong-concept-artist-digital-art-immersive-experience/2269702.html?ta_source=JobSearchList_ButtonApplyFormCard&u_sr_id=crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,"[""Nổi bật""]","[""2 năm kinh nghiệm chuyên môn"", ""Concept Arti...""]","Concept Artist, Mỹ thuật / Nghệ thuật / Điện ảnh, Cao Đẳng trở lên",False,False,False,True,level-five,True,False,False,2026-08-24T08:35:10
2078596,1,8,crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,BoxSearchResult,Data Engineer,NGÂN HÀNG TM TNHH MTV KỶ NGUYÊN THỊNH VƯỢNG,30 - 45 triệu,Hà Nội,4 năm,Đăng 2 tuần trước,Cập nhật 6 phút trước,https://www.topcv.vn/brand/gpbank/tuyen-dung/data-engineer-j2078596.html?ta_source=JobSearchList_LinkDetail&u_sr_id=crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,https://www.topcv.vn/brand/gpbank?id=220453,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/6a60649a8728e1784702106.png,Ứng tuyển,https://www.topcv.vn/brand/gpbank/tuyen-dung/data-engineer-j2078596.html?ta_source=JobSearchList_ButtonApplyFormCard&u_sr_id=crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,[],"[""4 năm kinh nghiệm chuyên môn"", ""Data Enginee...""]","Data Engineer, IT - Phần mềm, Ngân hàng, Tài chính, Đại Học trở lên, Nam",False,False,False,True,level-five,True,False,True,2026-08-24T08:35:10
2262122,1,9,crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,BoxSearchResult,"Nhân Viên Kinh Doanh Phần Mềm/Sales B2B/Nhân Viên Tư Vấn Phần Mềm Bán Hàng (Thu Nhập 10-30 Triệu/Tháng, Nghỉ Chiều T7 & Chủ Nhật) - Đào Tạo Bài Bản",CÔNG TY CỔ PHẦN HOSCO VIỆT NAM,10 - 30 triệu,Hà Nội,1 năm,Đăng 1 tuần trước,Cập nhật 9 phút trước,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-phan-mem-sales-b2b-nhan-vien-tu-van-phan-mem-ban-hang-thu-nhap-10-30-trieu-thang-nghi-chieu-t7-chu-nhat-dao-tao-bai-ban/2262122.html?ta_source=JobSearchList_LinkDetail&u_sr_id=crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,https://www.topcv.vn/cong-ty/cong-ty-co-phan-hosco-viet-nam/144602.html,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/FOO4Jd8G8nk5C00hvvmqYw6mhVgElPI2_1721881994____85aefc7cec8061b3f9cbeb2b66786adc.png,Ứng tuyển,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-phan-mem-sales-b2b-nhan-vien-tu-van-phan-mem-ban-hang-thu-nhap-10-30-trieu-thang-nghi-chieu-t7-chu-nhat-dao-tao-bai-ban/2262122.html?ta_source=JobSearchList_ButtonApplyFormCard&u_sr_id=crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,[],"[""1 năm kinh nghiệm chuyên môn"", ""Kinh doanh p...""]","Kinh doanh phần mềm, Telesales, B2B, B2C, IT - Phần mềm, IT - Phần cứng và máy tính, Có hỗ trợ Data, Diễn đạt trôi chảy, Phát âm chuẩn, Tuổi 22 - 38, Cao Đẳng trở lên",False,False,False,False,,True,True,False,2026-08-24T08:35:10
2264700,1,10,crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,BoxSearchResult,Kỹ Sư Tư Vấn Giải Pháp Đi Làm Ngay Tại Cầu  Giấy- Hà Nội,Công Ty TNHH MTV Ứng dụng Kỹ thuật và Sản xuất – Chi nhánh Hà Nội (Tecapro – Hanoi Branch),Thoả thuận,Hà Nội,2 năm,Đăng 1 tuần trước,Cập nhật 10 phút trước,https://www.topcv.vn/viec-lam/ky-su-tu-van-giai-phap-di-lam-ngay-tai-cau-giay-ha-noi/2264700.html?ta_source=JobSearchList_LinkDetail&u_sr_id=crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,https://www.topcv.vn/cong-ty/cong-ty-tnhh-mtv-ung-dung-ky-thuat-va-san-xuat-chi-nhanh-ha-noi-tecapro-hanoi-branch/258764.html,https://cdn-new.topcv.vn/unsafe/https://static.topcv.vn/v4/image/company/logo-default.png,Ứng tuyển,https://www.topcv.vn/viec-lam/ky-su-tu-van-giai-phap-di-lam-ngay-tai-cau-giay-ha-noi/2264700.html?ta_source=JobSearchList_ButtonApplyFormCard&u_sr_id=crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,[],"[""2 năm kinh nghiệm chuyên môn"", ""Kỹ sư IoT (I...""]","Kỹ sư IoT (IoT Engineer), IT - Phần cứng và máy tính, Đại Học trở lên, Bảo hiểm xã hội, Bảo hiểm sức khỏe, Team building, Du lịch hàng năm, Thưởng tháng 13, Thưởng hiệu quả làm việc",False,False,False,False,,True,False,False,2026-08-24T08:35:10
2266530,1,11,crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,BoxSearchResult,Security Operations Engineer (Expert/Senior SOC),Công ty cổ phần chứng khoán VPS,Thoả thuận,Hà Nội,5 năm,Đăng 2 tuần trước,Cập nhật 10 phút trước,https://www.topcv.vn/viec-lam/security-operations-engineer-expert-senior-soc/2266530.html?ta_source=JobSearchList_LinkDetail&u_sr_id=crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,https://www.topcv.vn/cong-ty/cong-ty-co-phan-chung-khoan-vps/199032.html,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/maSTyr1LbrOSzFIEPmjlCoN3hRYVR6Hc_1746118677____55a6a41e3b17178bf3a33d1d5f1c53f6.png,Ứng tuyển,https://www.topcv.vn/viec-lam/security-operations-engineer-expert-senior-soc/2266530.html?ta_source=JobSearchList_ButtonApplyFormCard&u_sr_id=crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,[],"[""5 năm kinh nghiệm chuyên môn"", ""Chuyên viên ...""]","Chuyên viên Cyber Security, An ninh mạng, Ngân hàng, Chứng khoán, Tiếng Anh Đọc hiểu, Đại Học trở lên",False,False,True,True,level-five,True,False,False,2026-08-24T08:35:10
1736983,1,12,crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,BoxSearchResult,3D Rigging Artist (Lương 25tr - 45tr) Tại Hồ Chí Minh - Yêu Cầu Bắt Buộc Nộp Portfolio,CÔNG TY TNHH VLAST VIỆT NAM,25 - 45 triệu,Hồ Chí Minh (mới),Không yêu cầu,Đăng 2 tuần trước,Cập nhật 13 phút trước,https://www.topcv.vn/viec-lam/3d-rigging-artist-luong-25tr-45tr-tai-ho-chi-minh-yeu-cau-bat-buoc-nop-portfolio/1736983.html?ta_source=JobSearchList_LinkDetail&u_sr_id=crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,https://www.topcv.vn/cong-ty/cong-ty-tnhh-vlast-viet-nam/200306.html,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-vlast-viet-nam-7771fa511ce0d84c0ae9e6d3a5d1058d-671745ab5578c.jpg,Ứng tuyển,https://www.topcv.vn/viec-lam/3d-rigging-artist-luong-25tr-45tr-tai-ho-chi-minh-yeu-cau-bat-buoc-nop-portfolio/1736983.html?ta_source=JobSearchList_ButtonApplyFormCard&u_sr_id=crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,[],"[""Không yêu cầu kinh nghiệm chuyên môn"", ""Conc...""]","Concept Artist, Game, Thiết kế / Kiến trúc, Cao Đẳng trở lên",False,False,False,True,level-five,True,True,False,2026-08-24T08:35:10
2268710,1,13,crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,BoxSearchResult,Nhân Viên Hành Chính: Gán Nhãn Dữ Liệu Hình Ảnh AI - Không Yêu Cầu Kinh Nghiệm,CÔNG TY TNHH ALCHERA VIỆT NAM,6.8 - 10 triệu,Hồ Chí Minh (mới),Không yêu cầu,Đăng 1 tuần trước,Cập nhật 13 phút trước,https://www.topcv.vn/viec-lam/nhan-vien-hanh-chinh-gan-nhan-du-lieu-hinh-anh-ai-khong-yeu-cau-kinh-nghiem/2268710.html?ta_source=JobSearchList_LinkDetail&u_sr_id=crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,https://www.topcv.vn/cong-ty/cong-ty-tnhh-alchera-viet-nam/50424.html,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/826x99ZrSCJo8XnE1MBmDGuQ9uO3J8JS_1731469220____cfc45ef88769606e061b5c8356fd23c2.jpg,Ứng tuyển,https://www.topcv.vn/viec-lam/nhan-vien-hanh-chinh-gan-nhan-du-lieu-hinh-anh-ai-khong-yeu-cau-kinh-nghiem/2268710.html?ta_source=JobSearchList_ButtonApplyFormCard&u_sr_id=crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,[],"[""Không yêu cầu kinh nghiệm chuyên môn"", ""Data...""]","Data Labeling (Gán nhãn dữ liệu), Tuổi 19 - 27, Trung học phổ thông (Cấp 3) trở lên, Bảo hiểm xã hội, Bảo hiểm sức khỏe, Khám sức khỏe định kỳ, Team building, Thưởng tháng 13",False,False,False,True,level-five,True,False,False,2026-08-24T08:35:10
2262537,1,14,crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,BoxSearchResult,Project Manager (PM) - Phòng Lab Công Nghệ - Lương Upto 60tr - Đi Làm Ngay (Hà Nội),Công ty cổ phần Công nghệ Proton,50 - 60 triệu,Hà Nội,3 năm,Đăng 2 tuần trước,Cập nhật 13 phút trước,https://www.topcv.vn/viec-lam/project-manager-pm-phong-lab-cong-nghe-luong-upto-60tr-di-lam-ngay-ha-noi/2262537.html?ta_source=JobSearchList_LinkDetail&u_sr_id=crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,https://www.topcv.vn/cong-ty/cong-ty-co-phan-cong-nghe-proton/155592.html,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/h2noMkXOK8jZS1gklA1X0LLIXArGO5ZR_1766389952____e646532eae57f50f693d82212bbc0d65.png,Ứng tuyển,https://www.topcv.vn/viec-lam/project-manager-pm-phong-lab-cong-nghe-luong-upto-60tr-di-lam-ngay-ha-noi/2262537.html?ta_source=JobSearchList_ButtonApplyFormCard&u_sr_id=crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,[],"[""3 năm kinh nghiệm quản lý"", ""3 năm kinh nghi...""]","3 năm kinh nghiệm chuyên môn, IT Project Manager, IT - Phần mềm, Đại Học trở lên, Thưởng hiệu quả làm việc",False,False,False,True,level-five,True,False,False,2026-08-24T08:35:10
2275981,1,15,crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,BoxSearchResult,Tester /QA Engineer,Công ty TNHH Smartbooks,10 - 30 triệu,Hà Nội & Đà Nẵng (mới),Không yêu cầu,Đăng 5 ngày trước,Cập nhật 13 phút trước,https://www.topcv.vn/viec-lam/tester-qa-engineer/2275981.html?ta_source=JobSearchList_LinkDetail&u_sr_id=crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,https://www.topcv.vn/cong-ty/cong-ty-tnhh-smartbooks/56624.html,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-smartbooks-61d55eef8db5a.jpg,Ứng tuyển,https://www.topcv.vn/viec-lam/tester-qa-engineer/2275981.html?ta_source=JobSearchList_ButtonApplyFormCard&u_sr_id=crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,[],"[""Không yêu cầu kinh nghiệm chuyên môn"", ""QA E...""]","QA Engineer, Đại Học trở lên",False,False,False,True,level-five,True,False,False,2026-08-24T08:35:10
2271067,1,16,crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,BoxSearchResult,Nhân Viên Business Analyst,CÔNG TY CỔ PHẦN CÔNG NGHỆ DỊCH VỤ MITEK,Thoả thuận,Hồ Chí Minh (mới),1 năm,Đăng 1 tuần trước,Cập nhật 13 phút trước,https://www.topcv.vn/viec-lam/nhan-vien-business-analyst/2271067.html?ta_source=JobSearchList_LinkDetail&u_sr_id=crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,https://www.topcv.vn/cong-ty/cong-ty-co-phan-cong-nghe-dich-vu-mitek/27292.html,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/MQD85y1dusxoDYOi7eUX2itUIVBV50vK_1657375804____70aaf32c472bd94ec3ee70c4b44451fe.png,Ứng tuyển,https://www.topcv.vn/viec-lam/nhan-vien-business-analyst/2271067.html?ta_source=JobSearchList_ButtonApplyFormCard&u_sr_id=crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,[],"[""1 năm kinh nghiệm chuyên môn"", ""Business Ana...""]","Business Analyst (Phân tích nghiệp vụ), IT - Phần mềm, Trung cấp trở lên",False,False,False,False,,True,False,False,2026-08-24T08:35:10
2266428,1,17,crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,BoxSearchResult,Phó Phòng Kỹ Thuật,CÔNG TY CỔ PHẦN CÔNG NGHỆ Y TẾ NHẬT VIỆT,Thoả thuận,Hồ Chí Minh (mới),5 năm,Đăng 2 tuần trước,Cập nhật 13 phút trước,https://www.topcv.vn/viec-lam/pho-phong-ky-thuat/2266428.html?ta_source=JobSearchList_LinkDetail&u_sr_id=crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,https://www.topcv.vn/cong-ty/cong-ty-co-phan-cong-nghe-y-te-nhat-viet/195961.html,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-cong-nghe-y-te-nhat-viet-0662fceb9bc43b91e23e992955f1e2ef-66f29e9d0d41f.jpg,Ứng tuyển,https://www.topcv.vn/viec-lam/pho-phong-ky-thuat/2266428.html?ta_source=JobSearchList_ButtonApplyFormCard&u_sr_id=crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,[],"[""2 năm kinh nghiệm quản lý"", ""5 năm kinh nghi...""]","5 năm kinh nghiệm chuyên môn, Technical Leader, Y tế / Dược phẩm, Công nghệ kỹ thuật, Tiếng Anh Đọc hiểu, Đại Học trở lên",False,False,False,True,level-five,True,False,False,2026-08-24T08:35:10
2114998,1,18,crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,BoxSearchResult,Data Engineer (Junior/Middle),VIETTEL DIGITAL SERVICES CORPORATION - BRANCH OF VIETTEL GROUP,Thoả thuận,Hà Nội,1 năm,Đăng 2 tuần trước,Cập nhật 13 phút trước,https://www.topcv.vn/viec-lam/data-engineer-junior-middle/2114998.html?ta_source=JobSearchList_LinkDetail&u_sr_id=crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,https://www.topcv.vn/cong-ty/viettel-digital/246114.html,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/6NC4c6xmsA1knjOJEVHI55QV2XdCa0nD_1767601631____6343b2e9d83eb84cc6c3769621aff363.png,Ứng tuyển,https://www.topcv.vn/viec-lam/data-engineer-junior-middle/2114998.html?ta_source=JobSearchList_ButtonApplyFormCard&u_sr_id=crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,[],"[""1 năm kinh nghiệm chuyên môn"", ""Data Enginee...""]","Data Engineer, IT - Phần mềm, Ngân hàng, Tài chính, Đại Học trở lên",False,False,False,False,,True,False,False,2026-08-24T08:35:10
2267123,1,19,crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,BoxSearchResult,Nhân Viên Kỹ Thuật Phần Cứng/ Mạng,CÔNG TY TNHH VI TÍNH NGUYÊN KIM,10 - 12 triệu,Hồ Chí Minh (mới),2 năm,Đăng 2 tuần trước,Cập nhật 13 phút trước,https://www.topcv.vn/viec-lam/nhan-vien-ky-thuat-phan-cung-mang/2267123.html?ta_source=JobSearchList_LinkDetail&u_sr_id=crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,https://www.topcv.vn/cong-ty/cong-ty-tnhh-vi-tinh-nguyen-kim/21941.html,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-vi-tinh-nguyen-kim-5cf484e929aae.jpg,Ứng tuyển,https://www.topcv.vn/viec-lam/nhan-vien-ky-thuat-phan-cung-mang/2267123.html?ta_source=JobSearchList_ButtonApplyFormCard&u_sr_id=crgXeLMukIfdtrS0rIXPGxyoYaUQzhOwG3aYRAPV_1787535302,[],"[""2 năm kinh nghiệm chuyên môn"", ""Kỹ thuật IT"", ""I...""]","IT - Phần cứng và máy tính, Tuổi 22 - 30, Trung cấp trở lên",False,False,False,True,level-five,True,False,False,2026-08-24T08:35:10
